statisYy,jmCd,jmNm,grdCd,grdNm,mdobligFldCd,mdobligFldNm,mjrYnCcd,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,2028,사출금형산업기사,31,산업기사,167,금형.공작기계,N,6574,6383,66,68,31,18,8
2025,2029,프레스금형산업기사,31,산업기사,167,금형.공작기계,N,3449,3401,17,17,4,5,5
2025,2030,철도차량산업기사,31,산업기사,163,철도,N,6231,6231,0,0,0,0,0
2025,2031,기계설계산업기사,31,산업기사,161,기계제작,N,25296,21529,1148,864,674,549,532
2025,2033,윤활관리산업기사,31,산업기사,162,기계장비설비.설치,N,9,9,0,0,0,0,0
2025,2034,자동화설비산업기사,31,산업기사,162,기계장비설비.설치,N,13450,12890,184,116,78,68,114
2025,2035,설비보전산업기사,31,산업기사,162,기계장비설비.설치,N,39602,31032,2028,1671,1995,2329,547
2025,2036,전기철도산업기사,31,산업기사,201,전기,N,276,194,5,2,15,35,25
2025,2037,온실가스관리산업기사,31,산업기사,261,환경,N,227,194,7,10,16,0,0
2025,2040,건설기계설비산업기사,31,산업기사,162,기계장비설비.설치,N,25852,25759,40,16,16,14,7
2025,2041,배관산업기사,31,산업기사,145,건설배관,N,1966,1951,0,0,1,2,12
2025,2045,철도운송산업기사,31,산업기사,91,운전.운송,N,11472,8493,444,340,546,653,996
2025,2047,영사산업기사,31,산업기사,83,방송,N,1013,1013,0,0,0,0,0
2025,2048,콘크리트산업기사,31,산업기사,142,토목,N,4079,3496,141,94,117,120,111
2025,2050,건설기계정비산업기사,31,산업기사,162,기계장비설비.설치,N,7687,6591,165,289,207,257,178
