section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
【A9】 과거 은둔 생활 여부,있음,75.309,53.392,486,5027,86.125,0.0,0.4629,21.917,True
【C2】 고립/은둔 벗어나기 위한 시도 방법,관련 지원 기관의 도움을 받았다,9.843,0.778,486,5027,236.3126,0.0,0.4616,9.065,True
【B1_1】 평소 생활 패턴▶나는 우리 가족과 친밀한 편이다,그렇다,22.84,44.102,486,5027,82.1227,0.0,0.456,-21.262,True
【C7x3】 병원 진단 및 치료▶제공 기간,2~3개월 정도,11.667,29.697,486,5027,70.8162,0.0,0.4555,-18.03,True
【C8_4_1 TO C8_4_8】 서울시 고립·은둔청년 지원 사업 도움이 되지 않은 이유,지원기간이 충분하지 않아서,10.0,27.273,486,5027,68.482,0.0,0.4554,-17.273,True
【C7x3】 병원 진단 및 치료▶제공 기간,1개월 정도,4.167,17.455,486,5027,57.8059,0.0,0.4509,-13.288,True
【B12_8】 우울 척도▶신문을 읽거나 TV를 보는 것과 같은 일상적인 일에도 집중할 수가 없었다.,거의 매일,14.609,2.765,486,5027,169.6633,0.0,0.4503,11.844,True
【B1_5】 평소 생활 패턴▶나는 잠을 설치는 것 없이 잘 자는 편이다,Top2(④+⑤),24.074,44.957,486,5027,78.7989,0.0,0.4441,-20.883,True
【C6x5】 일자리나 공부 기회▶제공 방식,가족과 함께,1.961,12.524,486,5027,47.385,0.0,0.4425,-10.563,True
【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,전혀그렇지않다,10.7,27.71,486,5027,66.3029,0.0,0.4422,-17.01,True
【A11】 지난 2주 동안 교류 횟수,4~5회,8.401,24.213,486,5027,62.6015,0.0,0.4408,-15.812,True
【A4_1 TO A4_8】 생활비 출처,본인이 모아두거나 벌고 있는 돈,73.884,90.331,486,5027,121.5463,0.0,0.4404,-16.447,True
【A10】 지난 2주간 교류 상대,20명 이상,1.626,11.595,486,5027,45.8524,0.0,0.4392,-9.969,True
【A18_1】 외로움 척도▶나는 나와 같이 있어 줄 사람이 부족하다,별로그렇지않다,19.136,38.771,486,5027,73.2618,0.0,0.4388,-19.635,True
"【A19_3】 성인기 전 경험▶가족 중 누군가가 정서적으로 힘들어했던 경험(불안, 우울 등)",있다,62.14,40.581,486,5027,84.2965,0.0,0.4348,21.559,True
